         58359707 function calls (56611942 primitive calls) in 280.193 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
       34    0.000    0.000    0.000    0.000 dearpygui.py:1116(deprecated)
        6    0.000    0.000    0.001    0.000 typing.py:1121(__getitem__)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
       64    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       20    0.000    0.000    0.001    0.000 typing.py:933(__init__)
       66    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       22    0.000    0.000    0.000    0.000 {built-in method builtins.max}
     12/1    0.000    0.000  280.193  280.193 {built-in method builtins.exec}
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
       11    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
       26    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1347(_path_importer_cache)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
       14    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       77    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.118    0.118 dearpygui.py:8800(show_viewport)
       16    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        9    0.000    0.000    0.001    0.000 typing.py:1130(copy_with)
       23    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:391(cached)
       12    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:169(__enter__)
       36    0.000    0.000    0.000    0.000 typing.py:514(<genexpr>)
       14    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
       51    0.000    0.000    0.000    0.000 typing.py:1017(__eq__)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.source_hash}
       12    0.000    0.000    0.000    0.000 typing.py:252(_deduplicate)
       12    0.000    0.000    0.012    0.001 <frozen importlib._bootstrap_external>:1422(find_spec)
        2    0.000    0.000    0.000    0.000 {function Random.seed at 0x000001F0522D4AF0}
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
       55    0.000    0.000    0.000    0.000 typing.py:1008(<genexpr>)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1485(__init__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
